Farm_ID,Crop,Soil_Type,Season,Irrigation_Type,Nitrogen,Phosphorus,Potassium,Soil_pH,Temperature_C,Humidity_%,Rainfall_mm,Soil_Moisture_%,Farm_Area_ha,Water_Availability_L,Water_Requirement_mm,Yield_ton_per_ha,Water_Efficiency
68,Rice,Alluvial,Kharif,Flood,138,61,43,5.63,31.54,92.03,878.11,66.06,4.79,14679740.38,1332.39,4.63,0.00347
69,Rice,Clay,Kharif,Drip,138,43,58,6.14,25.11,76.31,894.77,82.94,986.11,14212299685.17,1761.27,3.44,0.00195
70,Millet,Red,Kharif,Rainfed,38,48,34,6.61,26.07,59.6,335.03,33.56,8.55,99941957.57,325.15,2.02,0.00621
71,Wheat,Clay,Rabi,Sprinkler,111,43,64,7.14,21.59,46.2,238.31,33.62,2.79,13234786.02,676.94,3.83,0.00566
72,Tomato,Loamy,Kharif,Drip,53,53,49,6.57,28.22,76.24,335.73,50.93,1.78,24207751.44,631.47,62.7,0.09929
73,Wheat,Loamy,Rabi,Drip,91,40,50,6.79,18.05,53.04,76.35,33.77,9.54,89964173.83,490.63,3.49,0.00711
74,Maize,Red,Kharif,Furrow,85,61,31,5.97,31.0,59.65,604.06,53.95,9.89,116407108.97,810.16,5.07,0.00626
75,Groundnut,Laterite,Kharif,Rainfed,63,30,68,6.08,22.5,58.56,628.06,48.68,29.08,231909220.66,609.3,2.54,0.00417
76,Sugarcane,Black,Zaid,Furrow,90,65,110,6.51,22.87,78.75,816.13,64.57,387.24,3200051791.66,2076.34,70.83,0.03411
77,Millet,Red,Zaid,Rainfed,70,36,23,7.4,28.77,36.2,353.43,41.15,8.95,133333488.28,414.22,2.61,0.0063
78,Sugarcane,Loamy,Zaid,Furrow,136,47,68,7.71,27.13,87.16,1062.83,76.85,477.37,3236344434.81,2022.03,84.21,0.04165
79,Groundnut,Sandy,Rabi,Sprinkler,46,40,41,5.66,28.67,66.39,582.02,30.59,7.83,43718841.92,615.52,2.68,0.00435
80,Maize,Red,Rabi,Furrow,77,61,41,5.99,23.4,70.24,755.16,46.08,649.05,6697207471.81,543.44,4.24,0.0078
81,Cotton,Loamy,Kharif,Furrow,100,65,56,7.31,21.33,57.0,937.55,53.31,868.59,8083841206.61,774.98,2.19,0.00283
82,Millet,Red,Kharif,Drip,57,37,57,5.99,35.04,62.34,403.0,44.46,78.63,645210450.68,339.3,1.91,0.00563
83,Groundnut,Red,Rabi,Drip,54,47,43,5.94,27.86,60.25,426.6,54.48,3.49,45333959.91,612.31,1.81,0.00296
84,Maize,Loamy,Kharif,Furrow,112,57,54,6.35,31.98,55.78,376.98,52.68,982.74,4152046002.48,582.28,5.35,0.00919
85,Maize,Alluvial,Rabi,Drip,86,47,66,6.73,21.34,74.98,388.18,52.7,6.6,98952307.51,713.21,4.78,0.0067
86,Groundnut,Loamy,Kharif,Rainfed,29,28,61,7.16,25.18,61.53,498.67,31.54,7.92,101101847.87,597.7,2.23,0.00373
87,Millet,Loamy,Kharif,Rainfed,49,23,54,7.1,30.4,61.26,193.17,41.98,0.86,2155576.5,242.32,2.35,0.0097
88,Maize,Loamy,Kharif,Rainfed,121,57,34,6.71,29.88,55.04,373.43,65.82,8.23,61157286.16,578.69,5.43,0.00938
89,Groundnut,Loamy,Kharif,Drip,36,36,64,6.36,29.5,61.62,478.77,36.58,1.04,4879504.65,459.35,2.97,0.00647
90,Sugarcane,Black,Zaid,Drip,94,58,92,6.25,31.15,78.46,1053.63,86.25,27.31,292242220.48,1778.44,77.38,0.04351
91,Wheat,Alluvial,Rabi,Furrow,104,30,53,6.83,22.43,61.32,55.32,31.48,2.75,32928167.21,548.44,4.98,0.00908
92,Wheat,Alluvial,Rabi,Sprinkler,94,35,45,6.41,17.83,49.44,162.82,50.3,2.28,24119286.75,648.88,3.56,0.00549
93,Sugarcane,Clay,Kharif,Flood,153,44,78,6.86,35.1,66.78,893.66,77.57,1.17,9107485.25,1944.77,56.89,0.02925
94,Cotton,Alluvial,Kharif,Sprinkler,55,30,63,6.5,26.05,46.66,678.68,42.94,8.91,33393683.99,1118.28,1.78,0.00159
95,Groundnut,Loamy,Kharif,Rainfed,27,29,51,5.71,30.52,68.86,636.93,45.78,4.13,59298823.87,486.01,2.19,0.00451
96,Tomato,Laterite,Zaid,Furrow,99,72,48,6.97,23.98,64.81,588.35,46.42,3.35,12699995.69,448.62,65.86,0.14681
97,Groundnut,Red,Rabi,Drip,26,46,56,6.19,26.32,65.83,674.37,57.98,4.62,38219984.39,528.54,2.52,0.00477
98,Wheat,Alluvial,Rabi,Flood,93,43,43,6.52,15.68,42.84,83.21,51.69,5.71,32648521.11,624.53,5.45,0.00873
99,Tomato,Laterite,Zaid,Furrow,106,42,70,6.5,18.63,78.37,356.99,62.72,6.87,19453473.05,469.68,61.79,0.13156
100,Rice,Loamy,Kharif,Drip,89,65,43,6.11,24.05,89.67,930.72,86.36,2.85,34731094.06,1172.88,4.66,0.00397
101,Wheat,Alluvial,Rabi,Furrow,73,49,39,7.45,22.83,45.63,168.85,56.34,8.15,77872504.31,606.89,5.72,0.00943
102,Wheat,Clay,Rabi,Sprinkler,104,51,67,6.55,16.26,43.55,208.95,55.13,8.77,78980147.27,474.06,4.34,0.00915
103,Wheat,Loamy,Rabi,Drip,86,54,53,7.0,15.65,58.56,58.02,43.85,1.57,10678768.66,468.19,2.99,0.00639
104,Groundnut,Red,Rabi,Drip,48,59,39,6.88,31.74,52.02,578.08,56.14,4.42,40586691.51,453.67,3.22,0.0071
105,Millet,Loamy,Zaid,Drip,88,38,21,6.91,28.32,61.6,163.53,43.4,8.38,76980581.52,253.98,3.26,0.01284
106,Rice,Loamy,Kharif,Furrow,133,55,60,6.08,24.63,94.22,910.65,65.68,184.86,2097800278.99,1529.35,5.57,0.00364
107,Wheat,Alluvial,Rabi,Drip,67,65,55,7.42,11.9,63.87,159.14,46.3,734.35,6025377163.13,485.62,3.87,0.00797
108,Tomato,Red,Kharif,Sprinkler,67,49,49,5.63,18.93,73.4,378.43,62.92,1.74,25572258.53,405.03,41.06,0.10138
109,Millet,Sandy,Kharif,Rainfed,61,38,63,7.45,27.6,31.72,196.08,21.58,583.5,2931119266.43,391.74,3.18,0.00812
110,Groundnut,Laterite,Rabi,Rainfed,64,47,59,7.11,25.48,52.26,429.08,43.14,7.75,37084599.64,552.76,2.2,0.00398
111,Maize,Red,Kharif,Rainfed,109,36,57,6.41,22.74,71.66,384.44,68.1,5.29,42099637.73,605.21,6.31,0.01043
112,Rice,Loamy,Kharif,Furrow,86,52,53,6.05,24.67,84.82,827.97,79.13,522.1,4408881106.81,1627.58,3.16,0.00194
113,Rice,Loamy,Kharif,Flood,128,64,60,6.52,28.28,85.95,1456.23,78.93,6.78,48384819.25,1730.36,4.24,0.00245
114,Wheat,Clay,Rabi,Flood,98,59,45,7.1,16.9,46.46,199.04,33.93,7.52,44423130.76,651.26,3.23,0.00496
115,Maize,Loamy,Kharif,Furrow,76,64,62,6.08,23.5,65.88,741.41,62.82,3.71,16111878.59,621.38,4.17,0.00671
116,Maize,Alluvial,Rabi,Drip,88,43,35,6.57,28.46,52.1,540.56,63.47,8.24,57763487.83,626.03,4.56,0.00728
117,Sugarcane,Clay,Kharif,Furrow,106,61,70,6.43,32.52,74.42,945.52,63.93,3.82,45990674.64,1857.76,95.03,0.05115
118,Wheat,Clay,Rabi,Drip,90,52,56,7.3,24.98,58.41,227.96,57.26,1.0,8465007.92,486.11,3.81,0.00784
119,Millet,Sandy,Zaid,Drip,54,31,46,6.6,34.2,33.8,217.55,39.83,90.09,677546207.6,348.19,1.94,0.00557
120,Tomato,Laterite,Kharif,Drip,100,59,72,6.02,24.68,58.89,267.92,40.86,462.59,5096177509.64,632.09,39.88,0.06309
121,Cotton,Loamy,Kharif,Drip,62,34,71,6.38,33.79,49.2,838.85,59.43,9.65,75988569.14,905.34,2.32,0.00256
122,Cotton,Loamy,Kharif,Furrow,67,56,69,7.5,26.3,70.05,606.54,35.13,134.78,1211191443.93,727.87,3.2,0.0044
123,Sugarcane,Clay,Kharif,Drip,96,46,74,7.34,27.2,70.67,875.95,72.3,6.97,53306859.74,2545.19,70.58,0.02773
124,Sugarcane,Loamy,Kharif,Flood,107,82,54,7.31,32.56,67.93,1121.41,66.02,3.04,42088985.87,2532.72,104.68,0.04133
125,Cotton,Loamy,Kharif,Sprinkler,68,49,43,6.36,22.89,73.31,701.02,41.74,0.54,5664939.8,666.98,3.15,0.00472
126,Maize,Alluvial,Kharif,Drip,82,44,67,6.99,30.18,56.83,325.27,66.02,21.55,306686524.26,801.08,5.13,0.0064
127,Groundnut,Laterite,Kharif,Sprinkler,69,40,32,6.4,29.45,70.51,612.27,38.64,5.13,50187068.9,520.71,2.18,0.00419
128,Sugarcane,Clay,Zaid,Furrow,145,84,105,6.44,32.31,85.34,1170.78,65.66,92.61,639067661.77,2516.53,97.76,0.03885
129,Tomato,Laterite,Zaid,Sprinkler,90,54,43,5.64,22.95,76.27,313.62,58.63,895.18,10856218392.21,442.56,47.54,0.10742
130,Maize,Alluvial,Kharif,Sprinkler,106,40,56,6.96,20.29,56.6,655.96,56.91,8.68,64713331.54,495.76,6.16,0.01243
131,Rice,Alluvial,Kharif,Furrow,132,36,47,5.83,32.67,88.65,1485.71,66.48,32.11,91185228.83,1356.24,5.32,0.00392
132,Groundnut,Loamy,Kharif,Sprinkler,45,50,34,6.76,27.32,61.9,507.34,49.21,83.06,808391102.42,490.72,1.9,0.00387
133,Wheat,Loamy,Rabi,Sprinkler,119,36,67,7.38,14.98,45.07,92.35,32.7,9.9,41152082.52,473.83,5.42,0.01144
134,Cotton,Loamy,Kharif,Furrow,91,28,69,7.19,33.35,64.15,761.06,56.38,4.78,59545160.86,801.25,2.15,0.00268
135,Millet,Loamy,Zaid,Rainfed,39,42,31,7.18,28.63,54.01,406.92,21.94,6.95,43004793.76,408.21,2.47,0.00605
136,Wheat,Clay,Rabi,Furrow,75,40,43,6.93,19.16,58.71,77.02,50.81,0.93,7080033.41,540.11,2.96,0.00548
137,Cotton,Loamy,Kharif,Sprinkler,120,34,46,7.43,24.32,69.89,772.9,57.81,6.27,54220811.07,970.91,2.79,0.00287
138,Millet,Loamy,Zaid,Sprinkler,69,36,65,5.64,30.67,46.86,426.51,32.34,505.52,2634492980.01,287.68,1.82,0.00633
139,Groundnut,Sandy,Rabi,Rainfed,25,48,49,6.81,29.33,50.8,549.49,34.63,3.4,26020990.35,608.84,2.86,0.0047
140,Maize,Red,Rabi,Sprinkler,79,38,40,6.5,29.07,75.49,799.41,46.72,2.78,41474907.68,664.2,5.71,0.0086
141,Rice,Clay,Kharif,Flood,112,47,58,6.62,33.33,75.1,1128.54,84.99,9.86,136327664.43,1950.36,6.31,0.00324
142,Tomato,Alluvial,Kharif,Furrow,66,36,56,6.32,24.73,65.17,454.67,47.25,1.45,19040690.93,450.72,52.98,0.11755
143,Wheat,Alluvial,Rabi,Drip,63,38,34,6.83,10.32,49.49,85.4,49.68,0.74,2050941.97,533.15,4.59,0.00861
144,Wheat,Clay,Rabi,Sprinkler,66,35,51,6.67,16.64,42.15,210.55,56.79,9.06,39641982.24,590.09,3.37,0.00571
145,Rice,Alluvial,Kharif,Drip,129,58,40,6.28,33.53,82.35,900.27,74.32,0.65,7405200.95,1489.11,3.26,0.00219
146,Wheat,Clay,Rabi,Drip,79,45,52,6.92,21.65,64.32,192.34,33.08,2.61,13819634.22,459.98,4.11,0.00894
147,Millet,Sandy,Kharif,Drip,39,29,23,7.15,35.18,37.05,428.87,20.45,110.85,1621460553.99,446.25,2.7,0.00605
148,Maize,Alluvial,Rabi,Furrow,129,36,52,5.91,30.2,68.41,607.37,52.52,16.75,219629857.24,742.91,5.16,0.00695
149,Maize,Black,Rabi,Sprinkler,114,48,52,7.16,28.8,61.07,387.4,46.59,760.73,10075499262.82,594.64,4.57,0.00769
150,Maize,Alluvial,Kharif,Sprinkler,121,58,39,6.67,31.12,57.74,646.46,69.62,3.53,29797860.39,572.33,5.73,0.01001
151,Rice,Loamy,Kharif,Flood,88,45,53,6.6,29.2,91.07,1046.39,88.59,8.87,37879220.57,1433.14,4.53,0.00316
152,Cotton,Black,Kharif,Drip,63,53,36,6.43,22.96,58.23,707.18,50.66,6.22,66191296.15,805.63,1.75,0.00217
153,Wheat,Loamy,Rabi,Sprinkler,85,30,48,6.68,15.91,64.31,125.57,45.91,5.25,40771508.38,484.91,3.14,0.00648
154,Groundnut,Laterite,Rabi,Drip,29,53,68,5.54,28.01,69.1,449.68,53.63,982.9,7923866566.42,402.01,2.62,0.00652
155,Groundnut,Sandy,Kharif,Sprinkler,31,53,45,7.18,22.16,61.31,644.93,39.72,1.48,21190206.59,391.4,1.78,0.00455
156,Tomato,Loamy,Kharif,Sprinkler,98,55,42,6.14,29.16,65.07,588.45,42.77,50.34,664157872.43,498.8,41.67,0.08354
157,Wheat,Alluvial,Rabi,Furrow,92,62,70,6.28,14.52,40.93,128.37,36.01,6.81,47262918.13,520.08,3.93,0.00756
158,Wheat,Clay,Rabi,Flood,103,46,49,6.54,22.79,57.16,92.77,57.0,5.05,27678194.26,499.8,4.85,0.0097
159,Wheat,Clay,Rabi,Flood,67,40,63,7.41,19.1,61.31,192.72,59.78,5.29,24989463.29,549.78,4.87,0.00886
160,Wheat,Alluvial,Rabi,Sprinkler,60,32,68,6.4,10.59,43.25,98.05,38.22,2.09,15287507.14,513.02,3.42,0.00667
161,Wheat,Loamy,Rabi,Furrow,80,41,33,6.04,13.03,62.7,248.16,57.86,3.28,39555024.21,549.06,4.94,0.009
162,Millet,Loamy,Zaid,Sprinkler,84,21,39,7.03,33.87,40.8,428.77,22.36,6.63,80404243.44,275.83,2.92,0.01059
163,Sugarcane,Black,Kharif,Flood,147,67,81,6.18,25.86,77.43,738.21,73.45,4.37,25692375.52,2320.33,84.53,0.03643
164,Tomato,Laterite,Zaid,Sprinkler,75,66,56,6.25,23.01,57.72,401.07,39.55,8.27,120925136.96,475.56,72.15,0.15172
165,Groundnut,Laterite,Kharif,Sprinkler,47,59,56,5.74,27.26,54.25,636.38,47.52,203.67,2344854122.11,564.97,1.74,0.00308
166,Wheat,Clay,Rabi,Drip,96,36,63,6.1,17.68,47.76,182.58,33.56,26.74,263266990.28,534.4,5.42,0.01014
167,Millet,Loamy,Zaid,Drip,57,31,27,5.71,36.0,45.94,411.76,32.06,9.31,59900242.95,471.93,1.9,0.00403
168,Rice,Loamy,Kharif,Furrow,121,51,61,5.75,32.98,76.33,1305.27,62.01,3.52,12936932.9,1718.52,5.86,0.00341
169,Rice,Alluvial,Kharif,Drip,134,61,49,5.68,27.2,79.21,1137.17,68.91,2.69,13347764.62,1424.18,4.81,0.00338
170,Rice,Loamy,Kharif,Flood,98,57,46,5.95,29.34,89.3,978.87,77.63,9.12,29493929.71,1626.05,5.15,0.00317
171,Tomato,Laterite,Rabi,Sprinkler,110,63,67,6.19,19.11,66.86,250.63,57.55,88.24,896120580.17,519.36,57.37,0.11046
172,Groundnut,Red,Kharif,Sprinkler,63,43,69,5.56,27.56,55.41,651.12,49.45,7.1,26055486.4,470.11,3.21,0.00683
173,Maize,Loamy,Rabi,Sprinkler,113,57,33,6.21,31.66,71.25,605.26,49.23,7.34,18795660.74,531.76,5.79,0.01089
174,Tomato,Alluvial,Zaid,Drip,107,47,78,6.21,23.83,63.08,329.86,50.65,99.55,727565496.29,422.86,42.02,0.09937
175,Groundnut,Red,Rabi,Sprinkler,60,37,36,5.8,29.64,62.41,671.74,30.98,0.99,14677118.07,480.64,1.73,0.0036
176,Rice,Alluvial,Kharif,Furrow,92,39,55,6.15,29.8,79.42,1426.76,64.16,8.71,83588302.1,1457.29,3.28,0.00225
177,Wheat,Alluvial,Rabi,Drip,70,55,32,7.09,14.32,61.71,63.28,55.88,0.43,5663262.18,428.18,3.32,0.00775
178,Millet,Red,Zaid,Drip,63,42,39,7.09,30.38,47.52,446.73,23.75,8.89,98369474.58,382.45,2.04,0.00533
179,Rice,Loamy,Kharif,Drip,130,50,37,6.18,28.62,78.17,905.48,67.53,8.75,36507890.3,1587.95,5.61,0.00353
180,Wheat,Loamy,Rabi,Flood,118,60,34,6.23,10.13,41.42,202.45,59.62,16.47,196831998.77,556.75,3.51,0.0063
181,Rice,Loamy,Kharif,Furrow,114,35,46,6.79,26.58,74.74,723.93,76.66,77.78,977862505.96,1752.46,3.63,0.00207
182,Groundnut,Red,Kharif,Drip,49,45,64,6.06,31.32,67.05,691.11,42.51,1.25,11369318.13,472.53,1.51,0.0032
183,Sugarcane,Loamy,Kharif,Flood,156,75,57,6.36,32.71,67.91,1510.25,81.77,7.62,87472891.14,2572.59,71.97,0.02798
184,Cotton,Alluvial,Kharif,Furrow,83,38,77,7.91,29.23,64.93,718.56,57.68,2.18,18567479.58,906.72,3.02,0.00333
185,Tomato,Red,Rabi,Furrow,53,37,64,6.37,25.02,69.72,488.09,54.25,5.47,20594096.45,545.28,43.45,0.07968
186,Sugarcane,Black,Zaid,Furrow,127,84,103,7.22,23.27,82.77,899.56,82.02,3.52,46820767.57,1785.47,78.63,0.04404
187,Groundnut,Red,Kharif,Drip,42,43,42,5.59,23.43,54.83,480.68,58.32,1.24,15743824.85,482.4,2.13,0.00442
188,Sugarcane,Black,Zaid,Drip,144,76,98,6.2,30.52,93.77,1061.92,61.53,5.61,71488984.23,1625.11,89.16,0.05486
189,Tomato,Alluvial,Zaid,Furrow,62,36,71,6.93,27.95,58.32,221.33,63.21,6.49,50278465.41,557.31,32.94,0.05911
190,Wheat,Clay,Rabi,Sprinkler,65,55,39,7.25,12.19,46.8,159.72,36.45,3.81,52968779.34,562.16,3.13,0.00557
191,Tomato,Alluvial,Rabi,Drip,105,37,86,6.74,25.58,68.6,455.69,55.71,7.86,20868026.27,494.8,55.95,0.11308
192,Tomato,Red,Zaid,Drip,69,55,40,6.01,21.0,65.83,350.11,64.1,3.08,26922289.89,514.31,60.38,0.1174
